review_id,text,actual_stars,s1_pred,s1_expl,s2_pred,s2_expl,s3_pred,s3_expl
0,"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4,4,"The review highlights positive aspects like good food, friendly service, quality cocktails, and a unique atmosphere. While acknowledging it was quiet late at night, the reviewer mentions its popularity during happy hour and weekends.",4,Mostly positive review with some context about late hours and happy hour popularity.,0,Error: Extra data: line 5 column 1 (char 963)
1,Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5,0,Error: Extra data: line 5 column 1 (char 149),5,Very positive review with strong praise for the crawfish etouffee.,4,"This review is overwhelmingly positive.  Here's a breakdown:

**Positive:**
* **High praise:** The reviewer states the etouffee is the best their friend has had outside of Louisiana, which is the origin state for this dish.
* **Specific compliment:**  The review focuses on a specific dish (crawfish etouffee) rather than general statements about the restaurant.
* **Source:** The high praise comes from someone familiar with authentic Louisiana cuisine.

**Negative:**
* **Limited scope:** The review only mentions one dish. We don't know about other aspects of the restaurant like service, atmosphere, or other menu items.

Overall, the glowing endorsement for a specific dish suggests a very positive experience.  However, the limited scope prevents a full 5-star rating."
2,"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,4,"The reviewer expresses positive sentiment by stating the food is 'good' and 'filling,' and they enjoy going there regularly. The phrase 'typical strip mall pizza' suggests it's not exceptional but still satisfactory.",3,Positive sentiment towards specific menu items but acknowledges it's a typical strip mall establishment.,0,Error: Invalid control character at: line 3 column 51 (char 75)
3,"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twice.  

We were dreading the big repair, and decided to bring the car to a different auto shop (which will get a big, fat 5 star review) for a second opinion.  Turns out the track just had a BUILD UP OF DIRT AND DEBRIS and needed to be cleaned out.  Seriously?!?!  Just over $100 later we were on our way!

I find it VERY hard to believe that Coulter didn't know this was the problem.  We are now searching for a new SUV, and will not be choosing Infiniti.  How disappointing.",1,1,"The reviewer expresses extreme dissatisfaction with Coulter Infiniti's service, alleging they unnecessarily quoted a costly repair when a simple cleaning would have solved the issue. They feel deceived and will not be purchasing from Infiniti in the future.",1,"The customer expresses extreme dissatisfaction with Coulter Infiniti's service. They were overcharged for a simple cleaning issue that could have been easily resolved, and their complaint to corporate was denied. The review clearly states their intention to avoid Infiniti in the future.",1,"This review is overwhelmingly negative.  Here's a breakdown:

**Negative Aspects:**
* **Overpriced Repair:** Coulter Infiniti quoted over $3000 for a new moon roof track when the issue was simply dirt and debris buildup.
* **Denied Corporate Support:** The reviewer attempted to get assistance from corporate due to the car being barely out of warranty but was denied twice.
* **Misdiagnosis:** The reviewer believes Coulter Infiniti intentionally misdiagnosed the problem, leading to an unnecessary expensive repair.
* **Lost Trust:** This experience has severely damaged the reviewer's trust in both Coulter Infiniti and the Infiniti brand, leading them to seek alternatives for their next vehicle purchase.

**Positive Aspects:**
*  None are evident in this review.

The reviewer clearly expresses extreme dissatisfaction with their experience. The significant price difference between the initial quote and the actual repair cost, coupled with the perceived dishonesty and lack of support from corporate, solidify this as a 1-star review."
4,"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5,5,This review expresses overwhelmingly positive sentiment with enthusiastic language like 'Love this place!' and 'amazing!'. The reviewer also highlights multiple visits and menu recommendations.,5,Highly positive sentiment expressed through enthusiastic language and repeated visits.,5,"This review is overwhelmingly positive. Here's why:

* **Strong Positive Sentiment:** The reviewer uses enthusiastic language like ""Love this place!"" and ""amazing!""
* **Repeat Customer:** The fact that the reviewer ate there three times in three weeks strongly suggests satisfaction.
* **Specific Recommendation:**  Mentioning a favorite dish (""squid salad"") adds credibility and shows they've explored the menu.
* **Menu Variety:** Highlighting the variety of options (sushi, bibimbap, etc.) implies there's something for different tastes.
* **Clear Call to Action:** The ""Must try!"" ending encourages others to visit.

Overall, the review conveys a clear and passionate recommendation."
5,"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot comment on it. Someone mentioned the area being shady, i walked to and from here at least twice a day including late night and never felt it was a bad area. Also, the review about passing cars was not an issue for me. I was on the street side and I'm a light sleeper. Maybe their window was open?  i do agree that you can hear your neighbors in the bathroom, slightly annoying. In, summary - this hotel is a great choice and if the need arises, I'd stay again.",4,4,"The review is overwhelmingly positive. The author highlights the good location, price, free parking, clean rooms, and decent breakfast. While they mention minor drawbacks like noise from neighbors and potential street noise, these are presented as insignificant compared to the overall positives.",4,"The review highlights many positive aspects of the hotel, including its location, price, free parking, cleanliness, and room size. While some minor drawbacks are mentioned (noise from neighbors, distance to attractions), they are outweighed by the overall positive sentiment.",4,"This review highlights several positive aspects of the hotel: 

* **Location:**  Convenient for accessing downtown attractions like sports venues and the convention center, despite a short walk. The reviewer specifically mentions the lower price and free parking as making it worthwhile.
* **Cleanliness and Room Size:** The reviewer states the hotel and rooms are clean and big.
* **Free Breakfast:**  The breakfast is described as 'decent'.
* **Safety:** The reviewer feels safe walking to and from the hotel at various times, addressing concerns raised in previous reviews.

While there are a few minor negatives mentioned (hearing neighbors in the bathroom), they are not significant enough to outweigh the many positives. The overall tone is very positive, with the reviewer clearly satisfied with their stay and intending to return."
6,"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,0,Error: Extra data: line 5 column 1 (char 225),4,Positive review highlighting excellent food quality and late-night service. Mentions some service inconsistencies but overall positive experience with specific dish recommendations.,0,Error: Invalid control character at: line 3 column 105 (char 130)
7,Awesome if you like ramen...even awesomer if you like boba tea!!!,4,0,Error: Extra data: line 5 column 1 (char 156),5,Highly enthusiastic and positive language.,0,Error: Extra data: line 5 column 1 (char 533)
8,"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5,0,Error: Extra data: line 5 column 1 (char 186),5,"Highly positive review, emphasizing atmosphere, menu variety, food quality, and portion size.",0,Error: Extra data: line 5 column 1 (char 748)
9,"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,1,"The reviewer expresses extreme dissatisfaction with the portion sizes of the food, calling it 'little to no meat', and states they won't return.",1,Very negative feedback on service and food portion size. Customer expresses strong dissatisfaction and intent to not return.,0,Error: Invalid control character at: line 3 column 50 (char 73)
