review_id,text,actual_stars,s1_pred,s1_expl,s2_pred,s2_expl,s3_pred,s3_expl
0,"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4,0,Error: llama runner process has terminated: CUDA error (status code: 500),4,"Mostly positive review with praise for food, service, drinks, and atmosphere. Acknowledges slow business late at night but highlights happy hour popularity.",0,Error: Extra data: line 5 column 1 (char 1022)
1,Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5,5,"The reviewer received rave praise from a discerning Louisiana native about the crawfish etouffee, indicating high satisfaction.",5,Highly positive sentiment expressed through a recommendation from an expert (someone familiar with crawfish etouffee).,0,Error: Extra data: line 5 column 1 (char 667)
2,"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,0,Error: Extra data: line 5 column 1 (char 199),4,Positive sentiment with some caveats. They enjoy their regular meal but acknowledge it's standard fare.,0,Error: Invalid control character at: line 3 column 52 (char 77)
3,"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twice.  

We were dreading the big repair, and decided to bring the car to a different auto shop (which will get a big, fat 5 star review) for a second opinion.  Turns out the track just had a BUILD UP OF DIRT AND DEBRIS and needed to be cleaned out.  Seriously?!?!  Just over $100 later we were on our way!

I find it VERY hard to believe that Coulter didn't know this was the problem.  We are now searching for a new SUV, and will not be choosing Infiniti.  How disappointing.",1,1,The reviewer expresses extreme dissatisfaction with Coulter Infiniti's diagnosis and pricing. They feel the dealership overcharged for a simple cleaning issue and were unhelpful when seeking corporate assistance. The negative experience will lead them to avoid Infiniti in the future.,1,The review expresses extreme dissatisfaction with Coulter Infiniti's service. They were overcharged for a simple cleaning that could have been done at a fraction of the cost. The customer feels misled and will not return to Infiniti in the future.,1,"This review is overwhelmingly negative. Here's a breakdown:

**Negative Aspects:**
* **Excessively high repair estimate:** $3000 for a moon roof track seems unreasonable, especially considering the car's low mileage.
* **Refusal to cover costs:** The denial of coverage from both the dealership and corporate office despite the car being relatively new is a major red flag.
* **Misdiagnosis:** The second opinion revealed a simple cleaning solution instead of a costly replacement, implying incompetence or negligence on Coulter Infiniti's part.
* **Loss of trust:** The customer explicitly states they won't buy Infiniti in the future due to this experience.

**Positive Aspects:**
* None are apparent in this review. The reviewer expresses only disappointment and frustration.

The severity of the issues described, particularly the misdiagnosis and lack of support from the dealership, warrant a very low star rating."
4,"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5,5,"The reviewer expresses strong positive sentiment using words like 'love,' 'amazing,' and 'must try.' They visited multiple times during their stay.",5,Highly positive sentiment expressed through enthusiastic language and repeated visits.,0,Error: Extra data: line 5 column 1 (char 755)
5,"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot comment on it. Someone mentioned the area being shady, i walked to and from here at least twice a day including late night and never felt it was a bad area. Also, the review about passing cars was not an issue for me. I was on the street side and I'm a light sleeper. Maybe their window was open?  i do agree that you can hear your neighbors in the bathroom, slightly annoying. In, summary - this hotel is a great choice and if the need arises, I'd stay again.",4,0,Error: Extra data: line 5 column 1 (char 326),4,"Overall positive review highlighting good location, price, cleanliness, and room size. Minor negatives mentioned include distance to attractions, noise from neighbors, and potential for street noise but are outweighed by the positives.",4,"This review is overwhelmingly positive.  Here's a breakdown:

**Positive Aspects:**
* **Location:** The reviewer highlights the hotel's convenient location for accessing downtown attractions, the convention center, and sports venues, even if it's a short walk.
* **Value:**  The lower price and free parking are major selling points for the reviewer.
* **Cleanliness & Room Quality:** The hotel is described as clean, with nice and big rooms.
* **Breakfast:** The free breakfast is considered decent.
* **Safety:** The reviewer feels safe walking to and from the hotel at various times of day, addressing concerns raised in other reviews.

**Negative Aspects:**
* **Noise:**  The reviewer mentions hearing neighbors in the bathroom, which they find slightly annoying.
* **Potential for Traffic Noise:** While the reviewer didn't experience it, they acknowledge that some guests might be bothered by passing cars.

**Overall:** The positive aspects significantly outweigh the negative ones. The reviewer clearly recommends the hotel and would stay there again. A 4-star rating seems appropriate."
6,"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,4,"The reviewer clearly enjoys the food, particularly the seafood and sushi options. While they mention inconsistent service, a positive experience at the sushi bar and happy hour deals contribute to an overall positive sentiment.",4,"Positive feedback on food quality and variety, particularly seafood dishes. Acknowledges service inconsistency but highlights a positive experience at the sushi bar. Mentions happy hour deals and late-night serving hours.",0,Error: Invalid control character at: line 3 column 96 (char 121)
7,Awesome if you like ramen...even awesomer if you like boba tea!!!,4,0,Error: Extra data: line 5 column 1 (char 173),5,Highly enthusiastic and positive language.,5,"The review uses very positive language such as 'Awesome' and 'awesomer' indicating a high level of satisfaction. The reviewer explicitly states they love both ramen and boba tea, suggesting the restaurant excels at serving both dishes. The enthusiastic tone suggests a very positive experience."
8,"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5,0,Error: Extra data: line 5 column 1 (char 178),5,"Highly positive review with praise for atmosphere, food quality, and portion sizes.",4,"Here's a breakdown of the review:

**Positive Aspects:**
*  ""Great place for a ""home office"" morning."" - Implies a comfortable and conducive environment for work.
*  ""One of my favorite places"" - Strong positive sentiment and personal preference.
*  ""Indoor & outdoor seating"" - Offers flexibility and choice for customers.
*  ""Always busy"" - Suggests popularity and demand, which can be seen as a positive indicator.
*  ""They offer breakfast & lunch, their food is awesome!"" - Clearly expresses satisfaction with the menu and quality.
*  ""Very generous portions"" -  Highlights value for money.

**Negative Aspects:**
* None explicitly stated. The reviewer focuses entirely on positive aspects.

**Overall:** The review is overwhelmingly positive, praising the atmosphere, food, service, and value. The only potential drawback is the 'always busy' aspect, which might be a negative for some seeking a quiet setting.  However, the reviewer's clear enjoyment outweighs this minor consideration."
9,"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,0,Error: Extra data: line 5 column 1 (char 274),1,Extremely negative feedback on service and portion sizes. Customer expresses disappointment and states they will not return.,2,"This review highlights a significant issue with the portion sizes of the food. The reviewer expresses dissatisfaction with receiving 'little to no meat' on multiple occasions despite ordering different items. This suggests a consistent problem with the restaurant's preparation rather than a one-off error. 

However, the reviewer only awards 1 star for service and doesn't provide any details about the quality of the food itself beyond the meat quantity.  It's possible the taste was satisfactory, just lacking in quantity.

Overall, the primary concern seems to be the portion size, which is a major factor in dining satisfaction.  A 2-star rating reflects this significant drawback while acknowledging there might be other aspects of the dining experience that aren't explicitly negative."
